"Rank","Player","Yds","Year","Tm","Player-additional
,,,,,-9999"
107,Emmanuel Sanders (27),1404,2014,DEN,SandEm00
108,Anquan Boldin (24),1402,2005,ARI,BoldAn00
109,Justin Jefferson (21),1400,2020,MIN,JeffJu00
,Allen Robinson (22),1400,2015,JAX,RobiAl02
,Marcus Robinson (24),1400,1999,CHI,RobiMa00
112,Joe Horn (32),1399,2004,NOR,HornJo00
113,Yancey Thigpen (28),1398,1997,PIT,ThigYa00
114,Henry Ellard (33),1397,1994,WAS,EllaHe00
115,Michael Irvin+ (26),1396,1992,DAL,IrviMi00
116,John Stallworth+ (32),1395,1984,PIT,StalJo00
117,Julio Jones (30),1394,2019,ATL,JoneJu02
,Steve Smith Sr. (32),1394,2011,CAR,SmitSt01
119,Keenan Allen (25),1393,2017,LAC,AlleKe00
120,Derrick Alexander (28),1391,2000,KAN,AlexDe00
121,Mark Clayton (23),1389,1984,MIA,ClayMa00
,Roddy White (28),1389,2010,ATL,WhitRo00
123,Davante Adams (25),1386,2018,GNB,AdamDa01
124,Vincent Jackson (29),1384,2012,TAM,JackVi00
,Bobby Mitchell+ (27),1384,1962,WAS,MitcBo00
126,Lance Alworth+ (26),1383,1966,SDG,AlwoLa00
127,Dez Bryant (23),1382,2012,DAL,BryaDe01
,Henry Ellard (28),1382,1989,RAM,EllaHe00
,Javon Walker (25),1382,2004,GNB,WalkJa00
,Roddy White (26),1382,2008,ATL,WhitRo00
131,DeAndre Hopkins (25),1378,2017,HOU,HopkDe00
132,Anquan Boldin (22),1377,2003,ARI,BoldAn00
,George Kittle (24),1377,2018,SFO,KittGe00
134,Davante Adams (27),1374,2020,GNB,AdamDa01
,Calvin Ridley (25),1374,2020,ATL,RidlCa00
136,Jimmy Smith (32),1373,2001,JAX,SmitJi00
,Adam Thielen (28),1373,2018,MIN,ThieAd00
138,Torry Holt (28),1372,2004,STL,HoltTo00
,Art Monk+ (26),1372,1984,WAS,MonkAr00
140,Cris Carter+ (29),1371,1995,MIN,CartCr00
141,Chad Johnson (28),1369,2006,CIN,JohnCh01
142,Eric Moulds (25),1368,1998,BUF,MoulEr00
143,Odell Beckham Jr. (23),1367,2016,NYG,BeckOd00
144,Marvin Harrison+ (34),1366,2006,IND,HarrMa00
145,Torry Holt (25),1363,2001,STL,HoltTo00
146,Mark Andrews (26),1361,2021,BAL,AndrMa00
,James Lofton+ (28),1361,1984,GNB,LoftJa00
,Art Powell (27),1361,1964,OAK,PoweAr00
149,CeeDee Lamb (23),1359,2022,DAL,LambCe00
150,Alfred Jenkins (29),1358,1981,ATL,JenkAl00
151,Jaylen Waddle (23),1356,2022,MIA,WaddJa00
152,Chad Johnson (25),1355,2003,CIN,JohnCh01
,Terrell Owens+ (33),1355,2007,DAL,OwenTe00
,Reggie Wayne (31),1355,2010,IND,WaynRe00
,Reggie Wayne (33),1355,2012,IND,WaynRe00
156,Wes Welker (31),1354,2012,NWE,WelkWe00
157,Carlos Carson (24),1351,1983,KAN,CarsCa00
,Roddy White (30),1351,2012,ATL,WhitRo00
159,A.J. Green (24),1350,2012,CIN,GreeA.00
160,Wes Welker (28),1348,2009,NWE,WelkWe00
161,Randy Moss+ (25),1347,2002,MIN,MossRa00
162,Pierre Garcon (27),1346,2013,WAS,GarcPi00
163,T.Y. Hilton (24),1345,2014,IND,HiltT.00
164,Tim Brown+ (33),1344,1999,OAK,BrowTi00
,Dave Parks (23),1344,1965,SFO,ParkDa00
166,Rod Smith (31),1343,2001,DEN,SmitRo01
,Amani Toomer (28),1343,2002,NYG,ToomAm00
168,Tim Brown+ (29),1342,1995,OAK,BrowTi00
,Terance Mathis (27),1342,1994,ATL,MathTe00
170,Gary Clark (29),1340,1991,WAS,ClarGa00
,Joe Horn (28),1340,2000,NOR,HornJo00
,John Jefferson (24),1340,1980,SDG,JeffJo00
173,Isaac Bruce+ (23),1338,1996,STL,BrucIs00
,Germane Crowell (22),1338,1999,DET,CrowGe00
,Travis Kelce (32),1338,2022,KAN,KelcTr00
176,Travis Kelce (28),1336,2018,KAN,KelcTr00
177,Chris Godwin (23),1333,2019,TAM,GodwCh00
178,DeSean Jackson (26),1332,2013,PHI,JackDe00
179,Torry Holt (29),1331,2005,STL,HoltTo00
,Calvin Johnson+ (22),1331,2008,DET,JohnCa00
,Golden Tate (26),1331,2014,DET,TateGo00
182,Michael Irvin+ (27),1330,1993,DAL,IrviMi00
183,Hines Ward (26),1329,2002,PIT,WardHi00
184,Rob Gronkowski (22),1327,2011,NWE,GronRo00
185,Eric Moulds (27),1326,2000,BUF,MoulEr00
186,Plaxico Burress (25),1325,2002,PIT,BurrPl00
,Brandon Marshall (23),1325,2007,DEN,MarsBr00
188,Jimmy Smith (28),1324,1997,JAX,SmitJi00
189,Mike Evans (23),1321,2016,TAM,EvanMi00
190,Miles Austin (25),1320,2009,DAL,AustMi00
,Dez Bryant (25),1320,2014,DAL,BryaDe01
,Jake Reed (28),1320,1996,MIN,ReedJa00
193,Jeremy Maclin (26),1318,2014,PHI,MaclJe00
194,Ed McCaffrey (32),1317,2000,DEN,McCaEd00
195,Irving Fryar (34),1316,1997,PHI,FryaIr00
196,Jordy Nelson (28),1314,2013,GNB,NelsJo00
197,Mark Duper (27),1313,1986,MIA,DupeMa00
,Randy Moss+ (21),1313,1998,MIN,MossRa00
199,Lance Alworth+ (28),1312,1968,SDG,AlwoLa00
,Joe Horn (30),1312,2002,NOR,HornJo00
,Andre Reed+ (25),1312,1989,BUF,ReedAn00
,Sidney Rice (23),1312,2009,MIN,RiceSi01
203,Jimmy Graham (24),1310,2011,NOR,GrahJi00
,Reggie Wayne (27),1310,2006,IND,WaynRe00
,Roy Williams (24),1310,2006,DET,WillRo04
206,Tim Brown+ (28),1309,1994,RAI,BrowTi00
207,Yancey Thigpen (26),1307,1995,PIT,ThigYa00
208,Mark Duper (25),1306,1984,MIA,DupeMa00
,Jerry Rice+ (25),1306,1988,SFO,RiceJe00
210,Odell Beckham Jr. (21),1305,2014,NYG,BeckOd00
211,Art Powell (26),1304,1963,OAK,PoweAr00
,Demaryius Thomas (27),1304,2015,DEN,ThomDe03
213,Derrick Mason (29),1303,2003,TEN,MasoDe00
,D.K. Metcalf (22),1303,2020,SEA,MetcDK00
,Andre Reed+ (30),1303,1994,BUF,ReedAn00
216,Torry Holt (26),1302,2002,STL,HoltTo00
217,Jeff Graham (26),1301,1995,CHI,GrahJe00
218,James Lofton+ (27),1300,1983,GNB,LoftJa00
,Terrell Owens+ (28),1300,2002,SFO,OwenTe00
220,Raymond Berry+ (27),1298,1960,BAL,BerrRa00
221,Antonio Brown (30),1297,2018,PIT,BrowAn04
,A.J. Green (27),1297,2015,CIN,GreeA.00
,Don Maynard+ (33),1297,1968,NYJ,MaynDo00
,Otis Taylor (24),1297,1966,KAN,TaylOt00
225,Herman Moore (26),1296,1996,DET,MoorHe00
,Roddy White (29),1296,2011,ATL,WhitRo00
227,Buddy Dial (26),1295,1963,PIT,DialBu00
,Donald Driver (31),1295,2006,GNB,DrivDo00
,Brandon Marshall (29),1295,2013,CHI,MarsBr00
230,Henry Ellard (29),1294,1990,RAM,EllaHe00
,James Lofton+ (25),1294,1981,GNB,LoftJa00
232,Herman Moore (27),1293,1997,DET,MoorHe00
233,Isaac Bruce+ (31),1292,2004,STL,BrucIs00
,Lee Evans (25),1292,2006,BUF,EvanLe00
,Greg Jennings (24),1292,2008,GNB,JennGr00
,Eric Moulds (29),1292,2002,BUF,MoulEr00
237,Kellen Winslow+ (22),1290,1980,SDG,WinsKe00
238,Braylon Edwards (24),1289,2007,CLE,EdwaBr00
239,Eric Decker (26),1288,2013,DEN,DeckEr00
240,Randall Cobb (24),1287,2014,GNB,CobbRa00
,Joey Galloway (33),1287,2005,TAM,GallJo00
,Steve Largent+ (30),1287,1985,SEA,LargSt00
243,Antonio Brown (28),1284,2016,PIT,BrowAn04
244,Tyreek Hill (26),1276,2020,KAN,HillTy00
,Adam Thielen (27),1276,2017,MIN,ThieAd00
246,Cris Carter+ (34),1274,2000,MIN,CartCr00
,Chad Johnson (26),1274,2004,CIN,JohnCh01
,Sterling Sharpe (28),1274,1993,GNB,SharSt00
249,Eddie Brown (25),1273,1988,CIN,BrowEd00
250,Marvin Harrison+ (31),1272,2003,IND,HarrMa00
